GUID,Question,Correct Answer
4d85fe40-657e-4fbe-a3a9-424fccf93d07,जलवायु परिवर्तन से फैलने वाली बीमारियों के प्रभाव को कम करने के लिए क्या तैयारियां आवश्यक है,"उपरोक्त सभी: विभाग द्वारा आयोजित प्रशिक्षणों में भाग लेना, चिकित्सा संस्थान पर आवश्यक व्यवस्थाएं सुनिश्चित करन"
1fdce4c8-e833-4390-9f7d-2f53d6992f2c,"क्या स्वस्थ जीवन शैली, जलवायु परिवर्तन से मानव स्वास्थ्य पर होने वाले दुष्प्रभावों को कम करने में सहायक है",हाँ
589d2c9e-17af-4d8a-929e-82d12e5a21b3,राजस्थान में आगामी राष्ट्रीय पल्स पोलियो दिवस कब आयोजित किया जाएगा,"30 जून,2024"
afdf7bd9-b9e3-416b-96b2-8482fd28084e,यदि किसी बच्चे को इसी माह नियमित टीकाकरण कार्यक्रम में पोलियो की खुराक पिलाई गई है तो क्या उसे अभियान के दौरान भी पोलियो की खुराक पिलाई जावेगी,नहीं
ee14beb8-dd92-4a9b-a2e2-842945da6101,पल्स पोलियो दिवस पर अधिकाधिक बच्चों को पोलियो की खुराक पिलाने के लिए समुदाय स्तर पर क्या प्रयास किये जाने चाहिए,"उपरोक्त सभी: सामुदायिक बैठकों में चर्चा करना, गृह भ्रमण के दौरान जागरूक करना"
73b68406-c3f4-4d2b-a870-92995239e496,राष्ट्रीय पल्स पोलियो अभियान के दौरान किस आयु वर्ग के बच्चों को पोलियो की खुराक पिलाई जाएगी,0 से 5 वर्ष
6c2d50a6-6f1a-4fcd-a5cd-327614914cb6,क्या बच्चे के अस्वस्थ होने पर भी पोलियो की खुराक दी जा सकती है,हाँ
1e6e0786-2684-4d19-b02d-bba1b63618a1,विश्व जनसंख्या दिवस कब मनाया जाता है,11 जुलाई
664f60c6-805b-458b-a9a6-0945f3c7ea52,विश्व जनसंख्या दिवस की शुरुआत किस वर्ष हुई थी?,1990
8471072c-16d4-452c-a1d9-53b9b9473aee,विश्व जनसंख्या दिवस मनाने का मुख्य उद्देश्य क्या है?,जनसंख्या स्थिरीकरण के उपायों पर जागरूकता बढ़ाना
c324af74-9dea-4ffa-86d8-73c1d51c0e8a,"विश्व जनसंख्या दिवस, 2024 का मुख्य थीम (विषय) क्या है",माँ और बच्चे के स्वास्थ्य के लिए उचित समय और अंतराल पर गर्भधारण
0b072587-e208-43e8-964c-370b416fac8b,विश्व जनसंख्या दिवस पर कौन-सी प्रमुख चुनौती पर ध्यान केंद्रित किया जाता है,जनसंख्या विस्फोट
80feca5a-1f39-4a9b-ae8b-6cbb0cf1f982,वर्ष 2024 में दस्त रोग की रोकथाम हेतु कौनसा अभियान चलाया जा रहा है,स्टॉप डायरिया कैम्पेन
2f2aba06-49a2-4008-942a-0bb6c02c7d82,वर्ष 2024 में दस्त रोग की रोकथाम हेतु चलाये जा रहे अभियान की समयावधि क्या है,1 जुलाई से 31 अगस्त
365e8ceb-2dc9-42bb-abe7-125af43f3579,दस्त के दौरान एक 8 माह के शिशु (जिसमे निर्जलीकरण के लक्षण नहीं है) को ईलाज के दौरान क्या दिया जाना है,दूसरा व तीसरा दोनों विकल्प सही है।
d56ddfb7-3673-40d3-b8c8-7b118acf2714,दस्त के साथ कुछ निर्जलीकरण से ग्रसित बच्चे का ईलाज किस प्लान के अंतर्गत किया जाता है,प्लान-बी
29e40873-cf0e-42e0-983a-2f708814e04e,दस्त के साथ कुछ निर्जलीकरण से ग्रसित बच्चे में उपस्थित लक्षणो के संबंध में सत्य कथन है,अ एवं ब दोनों सत्य है
615ee88d-32d0-48f8-82f3-e159497e1af5,स्टॉप डायरिया कैम्पेन 2024 का उद्देश्य है,"उपरोक्त सभी:
5 वर्ष से छोटे बच्चों में दस्त के ईलाज हेतु ओआरएस एवं ज़िंक का उपयोग बढ़ाना
बच्चों में दस्त के कारण होने वाली मृत्यु को ज़ीरो करना
दस्त रोग की रोकथाम हेतु जागरूकता लाना"
2662eefb-83fe-4bfa-aaff-a062d4e21c98,स्टॉप डायरिया कैम्पेन 2024 का स्लोगन क्या है,"डायरिया की रोकथाम, सफाई और ओ.आर.एस. से रखे अपना ध्यान"
9bec688a-6e76-4613-b7e8-94eb510cd8db,ओआरएस बनाने के संबंध में सत्य कथन है,ओआरएस का घोल एक लीटर पानी में पूरा ओआरएस का पैकेट डालकर बनाना है
6abfc748-b72f-4fb3-bbd3-ee07b75a7aaa,ओआरएस ज़िंक कॉर्नर कहाँ बनाया जाना है,सभी चिकित्सा एवं स्वास्थ्य संस्थानो पर
c293131a-cb22-49d8-884b-4a877a3109e4,स्टॉप डायरिया कैम्पेन 2024 के दौरान ओआरएस वितरण से संबन्धित सत्य कथन है,"उपरोक्त सभी कथन सत्य है:
जुलाई माह में आशा द्वारा प्रत्येक घर जहां 5 वर्ष से छोटा बच्चा है, प्रति घर एक ओआरएस का पैकेट देना है।
अगस्त माह में आशा द्वारा पुनः प्रत्येक घर जहां 5 वर्ष से छोटा बच्चा है, प्रति घर एक ओआरएस का पैकेट देना है
जुलाई माह में आशा द्वारा प्रत्येक घर जहां 5 वर्ष से छोटा बच्चा है, प्रति घर 10 ज़िंक की गोली देनी है एवं आवश्यकतानुसार अगस्त माह में देनी है"
31d3e0c9-67ff-43bd-a96c-28276aa46050,दस्त के दौरान ज़िंक देने के फायदे में शामिल है,"उपरोक्त सभी:
ज़िंक आंतों की आंतरिक लाइनिंग को ठीक करता है
ज़िंक दस्त की गंभीरता को कम करता है
ज़िंक दस्त के एपिसोड की संख्या को कम करता है"
cb9a671f-3503-47ce-80b2-5dc80c10ebe5,दस्त रोग के प्रसारण से संबन्धित सत्य कथन है,आस पास की साफ सफाई नही रखने से मक्खियो द्वारा भोजन के माध्यम से प्रसार होना
d0079248-7eb0-4de1-b69b-8017e7420c7a,दस्त रोग के मुख्य दुष्परिणाम क्या- क्या हो सकते है,"उपरोक्त सभी:
निर्जलीकरण
कुपोषण_x000D_
रोग की गंभीरता से बच्चे की मृत्यु"""
5bca167c-386c-4f71-9b1c-d64341845d41,विश्व स्तनपान सप्ताह कब मनाया जाता है,प्रत्येक वर्ष अगस्त माह के प्रथम सप्ताह में
27ae9abd-1cf1-48c0-9728-cdf5fcd748c6,बच्चे को जन्म के बाद पहली बार स्तनपान कब करवाया जाना चाहिए ?,जन्म के तुरंत बाद जितना जल्दी हो सके अधिकतम 1 घंटे के भीतर
6137b683-73cf-4763-8971-831b422d89c7,क्या बच्चे को छः माह की आयु तक केवल स्तनपान करवाया जाना चाहिए ?,हाँ
bb1c8ba1-bba0-490b-93cc-d2d3a32f5e42,स्तनपान करने वाले बच्चों में निम्न में से क्या होने की संभावना कम होती है,"उपरोक्त सभी
दस्त
कुपोषण
निमोनिया"
11b097ef-d572-4eb0-a6ed-ef3c6f5fdf14,स्तनपान से मां को क्या शारीरिक लाभ होते है,उपरोक्त सभी
