Question,Answer,Question-Hindi,Answer-Hindi,GUID,Send
Are there any foods I should avoid giving my baby?,"Yes, there are certain foods that should be avoided for babies. These include honey before the age of 1 due to the risk of botulism, whole nuts due to the risk of choking, and high-mercury fish like shark, swordfish, and king mackerel. Also, avoid giving your baby unpasteurized dairy products, raw or undercooked meat, and raw sprouts due to the risk of foodborne illnesses. Always ensure that the food is age-appropriate, properly cooked, and cut into small, manageable pieces to prevent choking.",क्या कोई खाद्य पदार्थ है जो मुझे अपने बच्चे को देने से बचना चाहिए?,"हां, कुछ ऐसे खाद्य पदार्थ हैं जिन्हें शिशुओं के लिए टाला जाना चाहिए।इनमें 1 साल की उम्र से पहले शहद शामिल है, जो बोटुलिज़्म के जोखिम के कारण, पूरे नट को घुटने के जोखिम के कारण, और शार्क, तलवारफिश और किंग मैकेरल जैसी उच्च-मर्करी मछली।इसके अलावा, खाद्य जनित बीमारियों के जोखिम के कारण अपने बच्चे को अनपेक्षित डेयरी उत्पादों, कच्चे या अंडरकुक किए गए मांस, और कच्चे स्प्राउट्स देने से बचें।हमेशा सुनिश्चित करें कि भोजन उम्र-उपयुक्त है, ठीक से पकाया जाता है, और घुट को रोकने के लिए छोटे, प्रबंधनीय टुकड़ों में काट दिया जाता है।",af2cc867-8c85-4d2e-8536-d4dacbc0e851,False
A pregnant woman has white discharge. What to do?,"During pregnancy, if a woman experiences white discharge, it can be a sign of an infection or other issues. The symptoms include passage of white discharge per vagina and itching in private parts. The recommended action is to teach the mother to use gentian violet and apply it high in her vagina daily. If there is no relief after 5 days, refer her to a PHC or hospital.",एक गर्भवती महिला को सफेद डिस्चार्ज होता है।क्या करें?,"गर्भावस्था के दौरान, यदि कोई महिला सफेद डिस्चार्ज का अनुभव करती है, तो यह संक्रमण या अन्य मुद्दों का संकेत हो सकता है।लक्षणों में योनि में सफेद डिस्चार्ज का पारित होना और निजी भागों में खुजली शामिल है।अनुशंसित कार्रवाई मां को जेंटियन वायलेट का उपयोग करने और उसे प्रतिदिन उसकी योनि में उच्च लागू करने के लिए सिखाने के लिए है।यदि 5 दिनों के बाद कोई राहत नहीं है, तो उसे पीएचसी या अस्पताल में दिखाएँ।",bcdac833-a7d8-4c5e-b49e-62a626a08519,False
"If a drug addict is pregnant, what can happen to her child?","If a pregnant woman is using drugs, it can have serious side effects on the unborn child. These side effects can include premature birth, low birth weight, developmental delays, and birth defects. The child may also experience withdrawal symptoms after birth, known as neonatal abstinence syndrome (NAS), which can cause tremors, irritability, feeding difficulties, and seizures. It is important for pregnant women to seek medical help to manage addiction and ensure the health of their baby.","यदि एक ड्रग एडिक्ट गर्भवती है, तो उसके बच्चे का क्या हो सकता है?","यदि एक गर्भवती महिला दवाओं का उपयोग कर रही है, तो इसका अजन्मे बच्चे पर गंभीर दुष्प्रभाव हो सकता है।इन दुष्प्रभावों में समय से पहले जन्म, जन्म का कम वजन, विकासात्मक देरी और जन्म दोष शामिल हो सकते हैं।बच्चे को जन्म के बाद वापसी के लक्षणों का भी अनुभव हो सकता है, जिसे नवजात संयम सिंड्रोम (एनएएस) के रूप में जाना जाता है, जो झटके, चिड़चिड़ापन, खिला कठिनाइयों और बरामदगी का कारण बन सकता है।गर्भवती महिलाओं के लिए यह महत्वपूर्ण है कि वे नशे की लत का प्रबंधन करें और अपने बच्चे के स्वास्थ्य को सुनिश्चित करें।",91a79193-c6b3-4485-8540-d21558f56b1a,False
Can antara injections affect future pregnancies?,"No, Antara (DMPA) is a reversible contraceptive method and it does not make any woman infertile. The average time for the return of fertility is about 10 months after stopping the injections.",क्या एंटारा इंजेक्शन भविष्य के गर्भधारण को प्रभावित कर सकते हैं?,"नहीं, अंतरा (DMPA) एक प्रतिवर्ती गर्भनिरोधक विधि है और यह किसी भी महिला को बांझ नहीं बनाती है।फर्टिलिटी की वापसी का औसत समय इंजेक्शन को रोकने के लगभग 10 महीने बाद है।",a62b8968-1376-4894-8306-d04ad67c98f7,False
Why does a woman's period stop after getting antara injection?,"A woman who receives an Antara injection can experience changes in menstrual bleeding patterns. For most women, the monthly bleeding becomes very light or takes the form of spotting or irregular bleeding. In about half the women, periods stop after a year of use. This happens because the hormone levels are low and stable throughout the cycle, so the lining of the woman's uterus doesn't thicken as it normally would. When it comes time for the period there is very little lining to shed and so the woman bleeds less than she normally would. Monthly bleeding resumes when a woman stops getting injections.",एंटारा इंजेक्शन प्राप्त करने के बाद एक महिला की अवधि क्यों रुकती है?,"एक महिला जो एक अंतरा इंजेक्शन प्राप्त करती है, मासिक धर्म रक्तस्राव पैटर्न में परिवर्तन का अनुभव कर सकती है।ज्यादातर महिलाओं के लिए, मासिक रक्तस्राव बहुत हल्का हो जाता है या स्पॉटिंग या अनियमित रक्तस्राव का रूप लेता है।लगभग आधी महिलाओं में, एक साल के उपयोग के बाद अवधि रुक ​​जाती है।ऐसा इसलिए होता है क्योंकि पूरे चक्र में हार्मोन का स्तर कम और स्थिर होता है, इसलिए महिला के गर्भाशय का अस्तर सामान्य रूप से गाढ़ा नहीं होता है।जब उस अवधि के लिए समय आता है तो शेड के लिए बहुत कम अस्तर होता है और इसलिए महिला सामान्य रूप से उससे कम खून बहती है।मासिक रक्तस्राव तब फिर से शुरू होता है जब एक महिला इंजेक्शन प्राप्त करना बंद कर देती है।",3f5472a9-4b46-4c65-a43a-66e91809e358,False
What are some good foods for a 9 month old baby?,"For a 9-month-old baby, you should include at least 4 food groups in their diet: (1) cereals; (2) green vegetables & fruits; (3) oil, ghee; (4) dal/meat/fish/egg (hard boiled). You should feed the baby 3-4 times a day along with 1-2 snacks. Gradually increase the amount to half a katori.",9 महीने के बच्चे के लिए कुछ अच्छे खाद्य पदार्थ क्या हैं?,"9 महीने के बच्चे के लिए, आपको कम से कम 4 खाद्य समूहों को उनके आहार में शामिल करना चाहिए: (1) अनाज;(२) हरी सब्जियां और फल;(३) तेल, घी;(४) दाल/मांस/मछली/अंडा (कठोर उबला हुआ)।आपको 1-2 स्नैक्स के साथ दिन में 3-4 बार बच्चे को खिलाना चाहिए।धीरे -धीरे राशि को आधा केटोरि तक बढ़ाएं।",aa856817-c092-447b-ac59-d8d63294d5ab,False
Why is it recommended to keep a gap of at least 3 years between the birth of one child and the next?,"It is recommended to keep a gap of at least 3 years between the birth of children for the health of both the mother and the child. If a woman has children too close i.e. less than 36 months interval, her own health and her children’s health may suffer. A family with fewer children will be able to take better care of them, including their educational attainments, growth, and development. Also, a gap of two to five years allows for the restoration of the mother's health and proper care of the baby.",एक बच्चे के जन्म और अगले के बीच कम से कम 3 साल का अंतर रखने की सिफारिश क्यों की जाती है?,"माँ और बच्चे दोनों के स्वास्थ्य के लिए बच्चों के जन्म के बीच कम से कम 3 साल का अंतर रखने की सिफारिश की जाती है।यदि किसी महिला के बच्चे बहुत करीब हैं यानी 36 महीने से कम के अंतराल, उसके अपने स्वास्थ्य और उसके बच्चों के स्वास्थ्य को नुकसान हो सकता है।कम बच्चों के साथ एक परिवार उनकी शैक्षिक प्राप्ति, विकास और विकास सहित उनकी बेहतर देखभाल करने में सक्षम होगा।इसके अलावा, दो से पांच साल का अंतर माँ के स्वास्थ्य की बहाली और बच्चे की उचित देखभाल के लिए अनुमति देता है।",2ddf12eb-6e6e-4dcf-8667-bbf5e877c7cb,False
What to do if a child does not get a single vaccine for one year?,"If a child has not received any vaccines for one year, it's important to start the immunization process as soon as possible. According to the immunization schedule, vaccines like BCG, Polio, DPT, and Measles should be given at specific intervals. Even if the child has missed these, they should be administered as soon as possible. It's crucial to complete the primary immunization before the child reaches their first birthday. Please consult with the nurse didi in your village for further guidance.",अगर एक बच्चे को एक वर्ष के लिए एक भी टीका नहीं मिलता है तो क्या करें?,"अगर किसी बच्चे को एक साल तक कोई वैक्सीन नहीं लगी है, तो यह बहुत जरूरी है कि उसे जल्द से जल्द टीकाकरण शुरू किया जाए। टीकाकरण की समय सारणी के अनुसार, BCG, पोलियो, DPT और खसरा जैसी वैक्सीन को विशेष समय पर दिया जाना चाहिए। अगर बच्चे ने इन्हें नहीं लिया है, तो उन्हें जल्द ही लगवाना चाहिए। पहले जन्मदिन से पहले प्राथमिक टीकाकरण पूरा करना बहुत ज़रूरी है। कृपया अपनी गांव की ANM से आगे की जानकारी के लिए सलाह लें।",cf5d1759-758d-491c-b0c4-7a32f8ecc9ca,False
What precautions should a young mother (under 19 years of age) take during pregnancy?,"Pregnant teenagers should take several precautions for a healthy pregnancy. Regular ante-natal check-ups are crucial to monitor the baby's growth and detect complications early. Proper nutrition is essential, with a balanced diet that avoids certain harmful foods. Adequate rest and regular exercise are important for the health of both mother and baby. Early registration for pregnancy care can help identify and treat potential risks in time. Lastly, awareness of serious symptoms like swelling of feet, breathlessness, headaches, blurred vision, severe abdominal pain, and vaginal bleeding is vital as these require immediate medical attention.",गर्भावस्था के दौरान एक युवा माँ (19 वर्ष से कम उम्र के) को क्या सावधानी बरतनी चाहिए?,"गर्भवती किशोरों को एक स्वस्थ गर्भावस्था के लिए कई सावधानी बरतनी चाहिए।नियमित रूप से एंटे-नेटल चेक-अप बच्चे के विकास की निगरानी करने और जटिलताओं का पता लगाने के लिए महत्वपूर्ण हैं।उचित पोषण आवश्यक है, एक संतुलित आहार के साथ जो कुछ हानिकारक खाद्य पदार्थों से बचता है।मां और बच्चे दोनों के स्वास्थ्य के लिए पर्याप्त आराम और नियमित व्यायाम महत्वपूर्ण हैं।गर्भावस्था की देखभाल के लिए प्रारंभिक पंजीकरण समय में संभावित जोखिमों की पहचान करने और उनका इलाज करने में मदद कर सकता है।अंत में, गंभीर लक्षणों के बारे में जागरूकता जैसे पैरों की सूजन, सांस की तकलीफ, सिरदर्द, धुंधली दृष्टि, गंभीर पेट में दर्द, और योनि रक्तस्राव महत्वपूर्ण है क्योंकि उन्हें तत्काल चिकित्सा ध्यान देने की आवश्यकता होती है।",46b3d0b7-da70-4556-9c62-f74f034d0d45,False
What problems can children have due to vitamin A deficiency?,"Vitamin A deficiency in children can lead to several problems. One of the most common issues is night blindness, where the child finds it difficult to see in low light or darkness. Vitamin A is also essential for boosting the child's immune system, so a deficiency could lead to increased susceptibility to infections, and decreased growth and development. It's important to ensure that children receive their Vitamin A doses starting from nine months of age, and then every six months till they are five years old.",विटामिन ए की कमी के कारण बच्चों को क्या समस्या हो सकती है?,"बच्चों में विटामिन ए की कमी से कई समस्याएं हो सकती हैं।सबसे आम मुद्दों में से एक रात का अंधापन है, जहां बच्चे को कम रोशनी या अंधेरे में देखना मुश्किल लगता है।विटामिन ए बच्चे की प्रतिरक्षा प्रणाली को बढ़ावा देने के लिए भी आवश्यक है, इसलिए एक कमी से संक्रमण के लिए संवेदनशीलता में वृद्धि हो सकती है, और विकास और विकास में कमी आई है।यह सुनिश्चित करना महत्वपूर्ण है कि बच्चे अपने विटामिन ए को नौ महीने की उम्र से शुरू होने वाली खुराक प्राप्त करें, और फिर हर छह महीने में जब तक वे पांच साल के हो जाते हैं।",f4b3d377-cd43-46e5-816a-6a1fa4e378a4,False
